pyIssue,pyGroup,pyName,pyLabel,CampaignName,OfferCode,OfferStatus,OfferStartDate,OfferExpireDate,NBAName,NBANumber,NBACategory,NBAType,OfferShortDescriptionEN,OfferShortDescriptionFR,OfferLongDescriptionEN,OfferLongDescriptionFr,PersistenceDays,RestPeriodDays,OfferCondition,IncentiveAmount,PS_CD,PrimaryProductServiceSubCode,RetailOrSmallBusiness,PrimaryProductServiceNameEN,OfferType,OfferClassification,OfferSubClassification,Prestaged,CreativeID,SOL,SMC,SSC,SIC,SSP,MOB,MMC,MIC,ABM,CSE,PrimaryProductFeaturesEN,PrimaryProductFeaturesFR,DCM,DHC,DMB,DPB,MCP,OfferName,SCP,MSP,CSA,DIA,ATC_NONPEGA,ATC_PEGA,EngagementType,CUSTOMER_RELEVANCE,EML,MOBSeed,SOLSeed,PMT,InteractionLevel,Level0InteractionCode,COP,AFILUAInsight,AFILUAInsightMax,AFILUAInsightMin,CCMinPmtInsight,CCMinPmtInsightMax,CCMinPmtInsightMin,ChannelSubgroup,ChqPurFreqFlashInsight,ChqPurFreqFlashInsightMax,ChqPurFreqFlashInsightMin,ChqPurFreqInsight,ChqPurFreqInsightMax,ChqPurFreqInsightMin,DepositSubgroup,InsuranceSubgroup,InvestmentSubgroup,LendingSubgroup,PaymentSubgroup,ProductGroup,ProductIndicator,ProductType,RelationshipSubgroup,TravelInsight,TravelInsightMax,TravelInsightMin,PrimaryProductServiceNameFR,BRN,BOT,CRM,BusinessGroup,BusinessOwner,CampaignCode,PEG,REB,RES,CRO,StartDate,EndDate,pyIsPropositionActive,PrimaryProductCode,PrimaryProductSubCode,PrimarySourceCode,Alt1ProductCode,Alt1ProductSubCode,Alt1SourceCode,Alt2ProductCode,Alt2ProductSubCode,Alt2SourceCode
Informational,CustomerServicing,CIE4186,Returned Mail,Return Mail,CIE4186,InMarket,12/1/2017,12/31/2050,Address missing / incorrect customer info,33,Customer Relationship NBA,Know My Customer,"One or more of the customer's accounts have been flagged Returned Mail. Please update the customer's address(s) in Centralized Maintenance. For an improved customer experience, please promote paperless Record Keeping Option (RKO).",,"One or more of the customer's accounts have been flagged Returned Mail. Please update the customer's address(s) in Centralized Maintenance. For an improved customer experience, please promote paperless Record Keeping Option (RKO).",,0,0,Please confirm that all of the customer's account addresses are up to date.,0,ReturnML,,Retail,Returned Mail,Relationship,Discretionary,NonContextual,FALSE,4186091701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,To obtain the correct address of the customer.,,FALSE,FALSE,FALSE,FALSE,FALSE,Returned Mail,FALSE,FALSE,FALSE,FALSE,,,NBA,Customers whose accounts are suppressed due to returned mail.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,,,10,,,10,,,,,,Customer Profile,Service,Customer Profile,,,1,0.5,Returned Mail,FALSE,FALSE,FALSE,Customer Profile,Return Mail Lab,RS17089,FALSE,,FALSE,FALSE,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2432,,,CIE2432,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2432051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2437,,,CIE2437,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2437051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2438,,,CIE2438,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2438051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2441,,,CIE2441,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2441051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2444,,,CIE2444,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2444051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2445,,,CIE2445,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2445051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2446,,,CIE2446,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2446051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2447,,,CIE2447,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2447051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2448,,,CIE2448,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2448051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2449,,,CIE2449,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2449051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE2450,,,CIE2450,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,2450051701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4749,,,CIE4749,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4749081901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4954,,,CIE4954,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4954121901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4955,,,CIE4955,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4955121901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4956,,,CIE4956,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4956121901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4957,,,CIE4957,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4957121901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Engagement,UnsecuredLending,CIE4958,,,CIE4958,,,12/31/2050,,,,,,,,,180,0,,,,,,,,,,,4958121901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS16008,,,,,,,,,,,,,,,,
Sales,Payment,1903,Amex Gold PA - 20k pts w/$1000 spend 3m,,1903,InMarket,1/2/2020,12/31/2029,Offer Credit Cards,8,Payment NBA,Grow My Customer,Amex Gold PA - 20k pts w/$1000 spend 3m,,"American Express Gold, 20k points w/1k spend in the 1st 3 months",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,20000,AXG,GC,Retail,Scotiabank Gold Amex - Regular,Acquisition,Discretionary,NonContextual,TRUE,4037071701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Amex Gold PA - 20k pts w/$1000 spend 3m,FALSE,FALSE,FALSE,FALSE,,,NBA,Scotiabank customers. Do not have a Scotiabank credit card. Pre-approved for credit card.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,Amex,Product,Gold,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,OP14037,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4660,SB PA XSell - Passport Inf VISA for Bus,,4660,InMarket,3/27/2019,12/31/2050,Offer Credit Cards,35,Payment NBA,Grow My Customer,Preapproval for a Passport Inf VISA card for business Visa or Credit Limit Increase on current product,,Preapproval for a Passport Inf VISA card for business Visa or Credit Limit Increase on current product,,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4660041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,SB PA XSell - Passport Inf VISA for Bus,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB1337B,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4659,SB PA Acq - Passport Inf VISA for Bus,,4659,InMarket,3/27/2019,12/31/2050,Offer Credit Cards,35,Payment NBA,Grow My Customer,Preapproval for a Passport Inf VISA for business Visa,,Preapproval for a Passport Inf VISA for business Visa,,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4659041901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,SB PA Acq - Passport Inf VISA for Bus,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB1337A,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4312,Small Biz - Xsell ScotiaLine,,4312,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,35,Payment NBA,Grow My Customer,Preapproval for a ScotiaLine for business VISA card or Credit Limit Increase on current product,,Preapproval for a ScotiaLine for business VISA card or Credit Limit Increase on current product,,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4312031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Small Biz - Xsell ScotiaLine,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB1337B,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4309,Small Biz - PA Card Acq,,4309,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,35,Payment NBA,Grow My Customer,"Preapproval for a ScotiaLine for business VISA card or Scotia Momentum for business Visa, where the customer does not have either product",,"Preapproval for a ScotiaLine for business VISA card or Scotia Momentum for business Visa, where the customer does not have either product",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4309031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Small Biz - PA Card Acq,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB1337A,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4311,Small Biz - Xsell Momentum,,4311,InMarket,3/12/2018,12/31/2050,Offer Credit Cards,35,Payment NBA,Grow My Customer,"Preapproval for a Scotia Momentum for business Visa or Credit Limit Increase on current product, where the customer already has one or the other product.",,"Preapproval for a Scotia Momentum for business Visa or Credit Limit Increase on current product, where the customer already has one or the other product.",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4311031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Small Biz - Xsell Momentum,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB1337B,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
Sales,Payment,4929,Small Biz - PA Card Acq,,4929,InMarket,10/25/2019,12/31/2050,Offer Credit Cards,8,Payment NBA,Grow My Customer,"Preapproval for a ScotiaLine for business VISA card or Scotia Momentum for business Visa, where the customer does not have either product",,"Preapproval for a Scotia Momentum for business Visa Card or a ScotiaLine for business Visa Card, where the customer does not have either product.",,30,150,By accepting this offer you agree to be bound by the Terms and Conditions and the Application Disclosure Statement. Sales CSO will review complete T&Cs with customer.,,,,SmallBusiness,,Acquisition,Discretionary,NonContextual,TRUE,4309031801,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,Small Biz - PA Card Acq,FALSE,FALSE,FALSE,FALSE,,,NBA,,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,VISA,Product,Business,,FALSE,1,0.5,,TRUE,FALSE,TRUE,Credit Card,CIM,SB18052,FALSE,FALSE,FALSE,TRUE,,,Always,,,,,,,,,
